time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/reward,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl
3,3432,6144,1,-0.013184376,820,0.0,-0.00025075716839637605,1.0575776100158691,0.2,-1.4680949196219444,0.09957240521907806,1.3323673141188919,0.008447265625,0.0001,0.004890452
4,3385,8192,2,0.04710078,830,0.0,-0.00025113187730312346,1.0698126554489136,0.2,-1.4797341421246528,0.09706208854913712,0.8151269699912518,0.00400390625,0.0001,0.0034458416
5,3349,10240,3,0.23675308,840,0.0,-0.0018601534276967869,1.0708543062210083,0.2,-1.487703736126423,0.08104092627763748,0.5112607393879444,0.055224609375,0.0001,0.0082550105
6,3326,12288,3,0.00040897136,850,-1.1920928955078125e-07,0.00010211082990281284,1.0755414962768555,0.2,-1.4887677356600761,0.04604685679078102,0.3184312199242413,0.003076171875,0.0001,0.0007024092
7,3310,14336,4,0.0037262884,860,0.0,-0.00015729835286037996,1.0769157409667969,0.2,-1.4929805621504784,0.0057887909933924675,0.20796703632804564,0.008740234375,0.0001,0.0031814363
8,3300,16384,4,-0.00020597028,870,-1.1920928955078125e-07,-0.0012097440921934322,1.076949119567871,0.2,-1.4932616546750068,0.03423303738236427,0.13585704879369587,0.02392578125,0.0001,0.0065917345
9,3287,18432,5,-0.0016348499,880,0.0,-0.0004502466326812282,1.0754899978637695,0.2,-1.4924657315015792,0.0020731473341584206,0.08603760449914262,0.00556640625,0.0001,0.002950799
10,3277,20480,6,-0.0030501739,890,-1.1920928955078125e-07,-0.0020202657346089837,1.069421648979187,0.2,-1.489592681825161,-0.008487923070788383,0.05960414415458217,0.0625,0.0001,0.006783081
11,3275,22528,6,-0.0033454078,900,0.0,-2.9339636967051774e-05,1.070635437965393,0.2,-1.486113226413727,-0.006146161817014217,0.039194216259056704,0.000244140625,0.0001,0.0020776838
12,3298,24576,7,0.01072214,910,0.0,-0.0011218007784918882,1.0676301717758179,0.2,-1.4864122733473777,-0.0027138502337038517,0.027507583872647956,0.019384765625,0.0001,0.0040892866
13,3291,26624,8,8.5921725e-05,920,0.0,-0.00014539565599989147,1.063733696937561,0.2,-1.4825702071189881,-0.015134249813854694,0.010098753072088584,4.8828125e-05,0.0001,0.0020497427
14,3287,28672,8,-0.028226385,930,0.0,-0.0005051551066571847,1.0662486553192139,0.2,-1.4815062656998634,-0.011795030906796455,0.014049315155716613,0.008349609375,0.0001,0.0042432295
15,3283,30720,9,0.02839988,940,-1.1920928955078125e-07,-0.0016202345679630526,1.067502737045288,0.2,-1.484128625690937,-0.009275924414396286,0.010632281110156327,0.019921875,0.0001,0.0036528786
16,3277,32768,9,0.009657727,950,0.0,-4.655212687794119e-05,1.0683976411819458,0.2,-1.4845266476273538,-0.01401106733828783,0.007060605142032728,0.0,0.0001,0.0013369537
17,3274,34816,10,-0.001471151,960,0.0,-0.0006025068636517972,1.066524863243103,0.2,-1.484613761305809,-0.011204641312360764,0.00560608876257902,0.01953125,0.0001,0.004704263
