,date,actions
537,2016-03-07,[0]
538,2016-03-08,[0]
539,2016-03-09,[0]
540,2016-03-10,[0]
541,2016-03-11,[0]
542,2016-03-12,[0]
543,2016-03-13,[0]
544,2016-03-14,[0]
545,2016-03-15,[0]
546,2016-03-16,[0]
547,2016-03-17,[0]
548,2016-03-18,[0]
549,2016-03-19,[0]
550,2016-03-20,[0]
551,2016-03-21,[0]
552,2016-03-22,[0]
553,2016-03-23,[0]
554,2016-03-24,[0]
555,2016-03-25,[0]
556,2016-03-26,[0]
557,2016-03-27,[0]
558,2016-03-28,[0]
559,2016-03-29,[0]
560,2016-03-30,[0]
561,2016-03-31,[0]
562,2016-04-01,[0]
563,2016-04-02,[0]
564,2016-04-03,[0]
565,2016-04-04,[0]
566,2016-04-05,[0]
567,2016-04-06,[0]
568,2016-04-07,[0]
569,2016-04-08,[0]
570,2016-04-09,[0]
571,2016-04-10,[0]
572,2016-04-11,[0]
573,2016-04-12,[0]
574,2016-04-13,[0]
575,2016-04-14,[0]
576,2016-04-15,[0]
577,2016-04-16,[0]
578,2016-04-17,[0]
579,2016-04-18,[0]
580,2016-04-19,[0]
581,2016-04-20,[0]
582,2016-04-21,[0]
583,2016-04-22,[0]
584,2016-04-23,[0]
585,2016-04-24,[0]
586,2016-04-25,[0]
587,2016-04-26,[0]
588,2016-04-27,[0]
589,2016-04-28,[0]
590,2016-04-29,[0]
591,2016-04-30,[0]
592,2016-05-01,[0]
593,2016-05-02,[0]
594,2016-05-03,[0]
595,2016-05-04,[0]
596,2016-05-05,[0]
597,2016-05-06,[0]
598,2016-05-07,[0]
599,2016-05-08,[0]
600,2016-05-09,[0]
601,2016-05-10,[0]
602,2016-05-11,[0]
603,2016-05-12,[0]
604,2016-05-13,[0]
605,2016-05-14,[0]
606,2016-05-15,[0]
607,2016-05-16,[0]
608,2016-05-17,[0]
609,2016-05-18,[0]
610,2016-05-19,[0]
611,2016-05-20,[0]
612,2016-05-21,[0]
613,2016-05-22,[0]
614,2016-05-23,[0]
615,2016-05-24,[0]
616,2016-05-25,[0]
617,2016-05-26,[0]
618,2016-05-27,[0]
619,2016-05-28,[0]
620,2016-05-29,[0]
621,2016-05-30,[0]
622,2016-05-31,[0]
623,2016-06-01,[0]
624,2016-06-02,[0]
625,2016-06-03,[0]
626,2016-06-04,[0]
627,2016-06-05,[0]
628,2016-06-06,[0]
629,2016-06-07,[0]
630,2016-06-08,[0]
631,2016-06-09,[0]
632,2016-06-10,[0]
633,2016-06-11,[0]
634,2016-06-12,[0]
635,2016-06-13,[0]
636,2016-06-14,[0]
637,2016-06-15,[0]
638,2016-06-16,[0]
639,2016-06-17,[0]
640,2016-06-18,[0]
641,2016-06-19,[0]
642,2016-06-20,[0]
643,2016-06-21,[0]
644,2016-06-22,[0]
645,2016-06-23,[0]
646,2016-06-24,[0]
647,2016-06-25,[0]
648,2016-06-26,[0]
649,2016-06-27,[0]
650,2016-06-28,[0]
651,2016-06-29,[0]
652,2016-06-30,[0]
653,2016-07-01,[0]
654,2016-07-02,[0]
655,2016-07-03,[0]
656,2016-07-04,[0]
657,2016-07-05,[0]
658,2016-07-06,[0]
659,2016-07-07,[0]
660,2016-07-08,[0]
661,2016-07-09,[0]
662,2016-07-10,[0]
663,2016-07-11,[0]
664,2016-07-12,[0]
665,2016-07-13,[0]
666,2016-07-14,[0]
667,2016-07-15,[0]
668,2016-07-16,[0]
669,2016-07-17,[0]
670,2016-07-18,[0]
671,2016-07-19,[0]
672,2016-07-20,[0]
673,2016-07-21,[0]
674,2016-07-22,[0]
675,2016-07-23,[0]
676,2016-07-24,[0]
677,2016-07-25,[0]
678,2016-07-26,[0]
679,2016-07-27,[0]
680,2016-07-28,[0]
681,2016-07-29,[0]
682,2016-07-30,[0]
683,2016-07-31,[0]
684,2016-08-01,[0]
685,2016-08-02,[0]
686,2016-08-03,[0]
687,2016-08-04,[0]
688,2016-08-05,[0]
689,2016-08-06,[0]
690,2016-08-07,[0]
691,2016-08-08,[0]
692,2016-08-09,[0]
693,2016-08-10,[0]
694,2016-08-11,[0]
695,2016-08-12,[0]
696,2016-08-13,[0]
697,2016-08-14,[0]
698,2016-08-15,[0]
699,2016-08-16,[0]
700,2016-08-17,[0]
701,2016-08-18,[0]
702,2016-08-19,[0]
703,2016-08-20,[0]
704,2016-08-21,[0]
705,2016-08-22,[0]
706,2016-08-23,[0]
707,2016-08-24,[0]
708,2016-08-25,[0]
709,2016-08-26,[0]
710,2016-08-27,[0]
711,2016-08-28,[0]
712,2016-08-29,[0]
713,2016-08-30,[0]
714,2016-08-31,[0]
715,2016-09-01,[0]
716,2016-09-02,[0]
717,2016-09-03,[0]
718,2016-09-04,[0]
719,2016-09-05,[0]
720,2016-09-06,[0]
721,2016-09-07,[0]
722,2016-09-08,[0]
723,2016-09-09,[0]
724,2016-09-10,[0]
725,2016-09-11,[0]
726,2016-09-12,[0]
727,2016-09-13,[0]
728,2016-09-14,[0]
729,2016-09-15,[0]
730,2016-09-16,[0]
731,2016-09-17,[0]
732,2016-09-18,[0]
733,2016-09-19,[0]
734,2016-09-20,[0]
735,2016-09-21,[0]
